fec.gov
title,Two Year Summary
description,2014 Itemized Individual Contributions
timestamp,Tue Feb 28 16:48:11 GMT 2017
copyright,"Copyright 2012, Federal Election Commission."
cmte_id,C00497842
cmte_nm,STRATEGY PAC
"Contributor Name","Employer","Occupation","Description","City","State","Zip","Receipt Date","Amount","Memo Code","Report Type","Report Year","Image Number","Transaction Code","Other Id","Candidate Id","Transaction PGI",
"BRANDSER, JOHN JR.","FIDUCIARY MANAGEMENT INC","PRESIDENT","CONTRIBUTION","SHOREWOOD","WI","53211","06/18/2014","$5,000.00","","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269205","15","","","P",
"BRANDSER, JOHN JR.","FIDUCIARY MANAGEMENT INC","PRESIDENT","CONTRIBUTION","SHOREWOOD","WI","53211","02/28/2013","$5,000.00","","MY","2013","http://docquery.fec.gov/cgi-bin/fecimg/?13943124560","15","","","P",
"BURNS, BLADEN","FIDUCIARY MANAGEMENT INC","SENIOR VICE PRESIDENT","CONTRIBUTION","WAUWATOSA","WI","53213","04/01/2013","$5,000.00","","MY","2013","http://docquery.fec.gov/cgi-bin/fecimg/?13943124560","15","","","P",
"CURLER, JEFFREY H. MR.","RETIRED","RETIRED","CONTRIBUTION/SEE REATTRIBUTION","NEENAH","WI","54957","06/12/2014","$10,000.00","","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269204","","","","",
"CURLER, JEFFREY H. MR.","RETIRED","RETIRED","CONTRIBUTION/REATTRIBUTION TO SPOUSE","NEENAH","WI","54957","06/12/2014","($5,000.00)","X","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269204","15","","","P",
"CURLER, JEFFREY H. MR.","RETIRED","RETIRED","CONTRIBUTION","NEENAH","WI","54957","03/20/2013","$5,000.00","","MY","2013","http://docquery.fec.gov/cgi-bin/fecimg/?13943124560","15","","","P",
"CURLER, LEA M. MRS.","HOUSEWIFE","HOUSEWIFE","CONTRIBUTION/REATTRIBUTION / REDESIGNATION REQUESTED (AUTOMATIC) REATTRIBUTION FROM SPOUSE","NEENAH","WI","54957","06/12/2014","$5,000.00","X","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269204","15","","","P",
"CURLER, LEA M. MRS.","HOUSEWIFE","HOUSEWIFE","CONTRIBUTION","NEENAH","WI","54957","03/20/2013","$5,000.00","","MY","2013","http://docquery.fec.gov/cgi-bin/fecimg/?13943124561","15","","","P",
"ENGLISH, PATRICK J. MR.","FIDUCIARY MANAGEMENT INC","INVESTMENTS","CONTRIBUTION/SEE REATTRIBUTION","MILWAUKEE","WI","53213","06/25/2014","$10,000.00","","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269206","","","","",
"ENGLISH, PATRICK J. MR.","FIDUCIARY MANAGEMENT INC","INVESTMENTS","CONTRIBUTION/REATTRIBUTION TO SPOUSE","MILWAUKEE","WI","53213","06/25/2014","($5,000.00)","X","Q2","2014","http://docquery.fec.gov/cgi-bin/fecimg/?14978269206","15","","","P",
